"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2021,1,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",110.00,1.00,0.63,0.00,0.38,0.00,0.00,2.00,0.00,32.00,20.00,0.00,12.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",87.00,9.00,3.53,0.89,3.58,0.00,1.00,0.00,1.00,452.00,174.00,32.00,208.00,0.00,38.00,
2021,1,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",79.00,7.00,3.87,1.00,2.13,0.00,0.00,0.00,0.00,969.00,351.00,541.00,77.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",181.00,12.00,5.28,1.00,2.23,0.00,3.50,0.00,0.00,1093.00,247.00,519.00,49.00,0.00,278.00,
2021,1,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",107.00,10.00,4.12,0.00,5.88,0.00,0.00,0.00,0.00,430.00,289.00,0.00,141.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",5358.00,391.00,114.05,13.71,144.70,0.86,117.68,3.00,1.00,35063.00,16409.00,2003.00,7115.00,75.00,9461.00,
2021,1,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",167.00,17.00,2.67,2.00,10.41,0.00,1.91,0.00,1.00,1928.00,581.00,922.00,277.00,0.00,148.00,
2021,1,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",141.00,5.00,1.03,1.97,1.00,0.00,1.00,0.00,0.00,740.00,69.00,611.00,33.00,0.00,27.00,
2021,1,"9E","Endeavor Air Inc.","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",95.00,9.00,3.97,1.00,4.03,0.00,0.00,0.00,0.00,1062.00,891.00,66.00,105.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",143.00,20.00,5.31,0.00,13.69,0.00,1.00,0.00,0.00,880.00,497.00,0.00,349.00,0.00,34.00,
2021,1,"9E","Endeavor Air Inc.","BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",27.00,3.00,1.39,0.61,1.00,0.00,0.00,0.00,0.00,178.00,92.00,46.00,40.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",114.00,6.00,2.37,0.00,2.00,0.00,1.63,0.00,0.00,199.00,98.00,0.00,44.00,0.00,57.00,
2021,1,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",6.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",79.00,5.00,1.00,1.00,1.00,0.00,2.00,0.00,0.00,671.00,27.00,559.00,17.00,0.00,68.00,
2021,1,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",21.00,2.00,0.46,0.00,1.38,0.00,0.17,0.00,0.00,45.00,11.00,0.00,30.00,0.00,4.00,
2021,1,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",79.00,5.00,1.67,0.00,1.59,0.00,1.74,0.00,0.00,415.00,39.00,0.00,336.00,0.00,40.00,
2021,1,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",110.00,10.00,5.43,0.00,1.02,0.00,3.55,0.00,0.00,473.00,316.00,0.00,50.00,0.00,107.00,
2021,1,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",60.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,105.00,0.00,0.00,105.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",54.00,9.00,4.13,0.00,4.80,0.00,0.07,0.00,0.00,382.00,262.00,0.00,114.00,0.00,6.00,
2021,1,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",36.00,5.00,1.58,0.00,2.58,0.00,0.83,0.00,0.00,315.00,63.00,0.00,161.00,0.00,91.00,
2021,1,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",203.00,4.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,162.00,87.00,0.00,0.00,0.00,75.00,
2021,1,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",79.00,6.00,2.63,0.96,1.82,0.00,0.59,1.00,0.00,1115.00,150.00,822.00,91.00,0.00,52.00,
2021,1,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",12.00,3.00,1.70,0.00,0.30,0.00,1.00,0.00,0.00,92.00,30.00,0.00,6.00,0.00,56.00,
2021,1,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",25.00,4.00,1.00,0.55,1.45,0.00,1.00,0.00,1.00,461.00,22.00,47.00,60.00,0.00,332.00,
2021,1,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",58.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,152.00,84.00,0.00,68.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2021,1,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",92.00,6.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,176.00,39.00,0.00,137.00,0.00,0.00,
